id,answer,question,desc,ref
62703f70-d2e5-4e8b-80a6-77baad3ad7ac,3,Có bao nhiêu bước phòng thủ chủ động (Actice Defence)?,"- Gây khó chịu (Annoyance), xác định nguồn (Attribution), phản công (Attack)\n- Bước phản công là phần gây tranh cãi nhất và rủi ro nhất. Thông thường thì hành động này đều bị coi là bất hợp pháp",
747cb4d9-569c-4b10-b2f1-d8f7151f32c1,8,Có bao nhiêu loại biện pháp kiểm soát an ninh (Security Control)?,"Kiểm soát vật lý (Physical Control), Kiểm soát hành chính (Administrative Control), Kiểm soát kỹ thuật (Technical Control), Kiểm soát phòng ngừa (Preventive Control), Kiểm soát phát hiện (Detective Control), Kiểm soát răn đe (Deterrent Control), Kiểm soát giảm thiểu / phục hồi (Mitigating / Recovery Control), Kiểm soát khắc phục / bù đắp (Corrective / Compensating Control)",
fe9c5bfa-005e-4b01-8d80-4edb4905b2f3,6,Có bao nhiêu tầng phòng thủ có chiều sâu (Defense in depth)?,Perimeter Security -> Network Security -> Endpoint Security -> Application Security -> Users -> Data,
dac6593f-c587-48e5-97d9-1b15e181c722,Bảo vệ dữ liệu khỏi các hành vi hoạt động trái phép.,Mục tiêu của tính toàn vẹn (integrity) trong tam giác CIA?,"- Các hành vi hoạt động trái phép bao gồm: sửa đổi, phá hủy\n- Tam giác CIA hay còn được gọi là tam giác an toàn thông tin (The Infomation Security Triad)",
55e6ce1a-ff98-4f3a-a142-75ed109c11dc,Chắc chắn dữ liệu và hệ thống đang được bảo vệ có thể truy cập và sử dụng trong lúc cần thiết.,Mục tiêu của tính sẵn sàng (availability) trong tam giác CIA?,- Tam giác CIA hay còn được gọi là tam giác an toàn thông tin (The Infomation Security Triad),
e7ad8c27-3f10-4c04-b51a-489e1cd6f15b,Chỉ cho phép các bên được ủy quyền được truy cập vào dữ liệu hoặc hệ thống.,Mục tiêu của tính bảo mật (confidentiality) trong tam giác CIA?,- Tam giác CIA hay còn được gọi là tam giác an toàn thông tin (The Infomation Security Triad),
f9e4415f-72c3-41bf-8be1-b3424208c6b5,Cung cấp dự phòng trong trường hợp có lỗi kiểm soát.,Mục tiêu của phòng thủ có chiều sâu (Defense in depth) đối với InfoSec (ATTT)?,- Có nhiều kiểm soát an ninh để bảo vệ dữ liệu.,
f98ee94f-bc70-4d92-812d-6eb110256892,Cung cấp đảm bảo thông tin (Information Assurance) cho hệ thống và dữ liệu.,Mục tiêu của Infomation Security (An toàn thông tin)?,"- Information Assurance (Đảm bảo thông tin) bao gồm: tính bảo mật (confidentiality), tính toàn vẹn (integrity), tính sẵn sàng (availability). {BRIGHT_CYAN}Tam giác CIA{RESET}",
5f7f2e00-d935-4239-9be4-d3df7a582d9d,Là bảo mật thông tin và hệ thống thông tin khỏi các hoạt động trái phép.,Infomation Security (An toàn thông tin) là gì?,"- Hoạt động trái phép: truy cập, sử dụng, tiết lộ, gián đoạn, sửa đổi hoặc phá hủy.",
6d6cfc98-f028-47cb-918c-173e285039f1,Là bất cứ thứ gì có thể vi phạm an ninh của hệ thống hoặc tổ chức.,"Thuật ngữ cần thiết ""Threat (Mối đe dọa)"" nghĩa là gì?",,
cd886b51-9896-4101-9099-7cef3fdee6d8,"Là bất kỳ chính sách, quy trình hoặc công nghệ nào được áp dụng nhằm giảm thiểu rủi ro.","Thuật ngữ cần thiết ""Control (Biện pháp kiểm soát)"" nghĩa là gì?",,
306b8696-1eb6-467b-a51a-4ae93bb5e9c0,"Là bằng chứng cho thấy một sự vật, dữ liệu hoặc thông tin là hợp pháp hoặc có thật.","Thuật ngữ cần thiết ""Authenticity (Tính xác thực)"" nghĩa là gì?",,
70fb8759-dbc8-4f36-9706-3a64f1e77731,Là các biện pháp được triển khai bằng công nghệ để giảm thiểu rủi ro.,Technical Control (Kiểm soát kỹ thuật) là gì?,"- Ví dụ: Hệ thống phát hiện/ngăn chặn xâm nhập (IDS/IPS), tường lửa, phần mềm chống virus, mã hóa, giao thức xác thực, danh sách kiểm soát truy cập (ACL).",
542bc3e6-a3e7-4123-9ade-33a707ae510d,Là các quy trình và chính sách hướng dẫn nhân viên về cách vận hành doanh nghiệp và thực hiện hoạt động hàng ngày.,Administrative Control (Kiểm soát hành chính) là gì?,"- Có thể được thực thi thông qua giám sát của quản lý, biện pháp vật lý và kỹ thuật.\n- Ví dụ: Đào tạo nhận thức bảo mật, chính sách, quy trình, hướng dẫn, chương trình bug bounty phần mềm, thuê đội kiểm toán an ninh.",
3105d6ec-e39c-4a7e-8551-583f148d589a,"Là công khai thông tin định danh cá nhân (PII) của một người, thường với ý đồ xấu.","Thuật ngữ cần thiết ""Doxing (Tiết lộ thông tin cá nhân)"" nghĩa là gì?",,
45d40304-d8e2-432d-a961-318e692ce560,"Là cơ chế hữu hình được thiết kế để ngăn chặn truy cập trái phép vào phòng, thiết bị, tài liệu và các tài sản khác.",Physical Control (Kiểm soát vật lý) là gì?,"- Ví dụ: Bảo vệ, đèn chiếu sáng, camera, cảm biến chuyển động, tường/rào, trụ chắn (bollards), mantrap (phòng khóa đôi), cổng xoay (turnstile), khóa, báo động, công cụ hủy tài liệu và ổ cứng như máy hủy giấy.",
7bd70d5a-40e8-4efd-b00e-5700cd5f1e64,Là cơ chế thực tế dùng để tận dụng một lỗ hổng cho mục đích tấn công.,"Thuật ngữ cần thiết ""Exploit (Khai thác)"" nghĩa là gì?",,
41ccc6c1-8f87-4cea-8b9f-16085c08cbd8,Là giá trị của mục tiêu được hacker cảm nhận và theo dõi.,"Thuật ngữ cần thiết ""Hack value (Giá trị đối với Hacker)"" nghĩa là gì?",,
4064fbb7-e306-436d-a7d1-971192b08826,Là mọi hành động hoặc biện pháp kiểm soát được sử dụng để hạn chế mức độ tổn thất khi xảy ra sự cố tiêu cực.,"Thuật ngữ cần thiết ""Mitigation (Giảm thiểu thiệt hại)"" nghĩa là gì?",,
bd47b3df-91d7-443b-a176-1a7b28947a16,Là một phần của exploit thực sự gây hư hại hệ thống hoặc đánh cắp thông tin.,"Thuật ngữ cần thiết ""Payload (Thuộc tính phần gây hại)"" nghĩa là gì?",,
4bb3368e-f0d7-470a-9036-b65652fc7b73,Là quá trình thiết lập một giải pháp an ninh thông tin tổng thể.,EISA (Enterprise Information Security Architecture - Kiến trúc an ninh thông tin doanh nghiệp) là gì?,- Nhằm bảo vệ mọi khía cạnh của tổ chức doanh nghiệp.,
efc6323f-2e70-43e5-a6b9-782031650756,"Là sau khi thành công một cuộc tấn công trước đó, làm bàn đạp để ngay lập tức khởi động tấn công tiếp theo.","Thuật ngữ cần thiết ""Daisy Chaining / Pivoting (Kết nối chuỗi / Chuyển điểm tấn công)"" nghĩa là gì?",,
51e7bfc8-bcdb-4cee-a036-ea88d301786c,Là tấn công diễn ra trước khi nhà cung cấp chưa biết về lỗ hổng hoặc chưa kịp phát hành bản vá.,"Thuật ngữ cần thiết ""Zero-day attack (Tấn công zero-day)"" nghĩa là gì?",,
0a8b4639-5b63-4312-85d4-f9bbd82f756d,Là việc không thể phủ nhận rằng đã thực hiện một hành động nào đó.,"Thuật ngữ cần thiết ""Non-repudiation (Không thể chối bỏ)"" nghĩa là gì?",- Thường đạt được thông qua yêu cầu xác thực và chữ ký số trên tài liệu.,
38fd68ca-0855-48b1-b441-5f11af4f6432,Là điểm yếu hoặc sai sót trong hệ thống.,"Thuật ngữ cần thiết ""Vulnerability (Lỗ hổng)"" nghĩa là gì?",,
402b5f51-a1bb-42c3-b610-3649b481978d,Là đảm bảo rằng các bên chịu trách nhiệm phải chịu trách nhiệm cho những hành động mà họ đã thực hiện.,"Thuật ngữ cần thiết ""Accountability (Trách nhiệm giải trình)"" nghĩa là gì?",,
eec40f0a-6e38-456e-bf96-4bcc3add5699,Đúng,Đúng hay sai: Bảo mật (security) luôn mâu thuẫn với các quy trình trong tổ chức.,- Vì tăng cường bảo mật thường yêu cầu giảm chức năng và khả năng sử dụng.\n=> Nên cần tìm sự cân bằng có thể chấp nhận được giữa ba điều này.,
1bb0a47f-7a49-4bf0-9b57-97b8bf1d7fb9,Đúng,"Đúng hay sai: Bảo mật (security), chức năng (functionality), khả dụng (usability) luôn lồng ghép với nhau.",,
